Directory,Lines of Code
pipeline\Airflow\Dubai\logs\scheduler\2026-03-10\native_dags\example_dags,217690
pipeline\Airflow\Dubai\logs\scheduler\2026-03-07\native_dags\example_dags,63536
pipeline\Airflow\Dubai\logs\dag_processor_manager,52662
pipeline\Airflow\Dubai\logs\scheduler\2026-03-06\native_dags\example_dags,33555
frontend,14396
pipeline\Airflow\Dubai\logs\scheduler\2026-03-10\native_dags\example_dags\plugins,11080
pipeline\Airflow\Dubai\logs\scheduler\2026-03-10,7854
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\logs,6390
pipeline\dbt\dbt-dubai\smartmove_dubai\logs,6390
pipeline\dbt\dbt-egypt\smartmove_egypt\logs,6203
frontend\components\guest,4647
.,4346
pipeline\Airflow\Dubai\logs\scheduler\2026-03-07\native_dags\example_dags\plugins,3200
frontend\components,2993
pipeline\Airflow\Dubai\logs\scheduler\2026-03-10\native_dags\example_dags\subdags,2770
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils,2576
pipeline\Airflow\Dubai\logs\scheduler\2026-03-07,2282
pipeline\SmartMove Cubes\SmartMove Cubes,1888
docs\api,1753
docs\architecture,1721
pipeline\Airflow\Dubai\logs\scheduler\2026-03-06\native_dags\example_dags\plugins,1620
frontend\components\cloud,1587
frontend\components\orb,1311
backend\apps\chatbot,1209
pipeline\Airflow\Egypt\dags,1209
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\macros\sql,1163
backend\apps\authentication,1091
backend\apps\reports,1065
pipeline\Airflow\England\dags,953
pipeline\Airflow\Dubai\dags,943
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\models\sql,915
backend\apps\monitoring,886
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\macros\generic_tests,879
frontend\components\analytics-engine-ai,832
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\target\run\smartmove_dubai\models\marts\schema.yml,819
pipeline\dbt\dbt-dubai\smartmove_dubai\target\run\smartmove_dubai\models\marts\schema.yml,819
frontend\components\chatbot,802
pipeline\Airflow\Dubai\logs\scheduler\2026-03-07\native_dags\example_dags\subdags,800
docs\reports,798
pipeline\Airflow\utils,771
frontend\components\layout,769
